2014,58,Roberto Luongo,/players/l/luongro01.html,34,TOT,,56,56,25,23,7,129,1589,1460,.919,2.40,4,3222,29,.518,4,94,7.92,0,0,0,2
2014,59,Joey MacDonald,/players/m/macdojo01.html,33,CGY,/teams/CGY/2014.html,11,9,5,4,1,29,264,235,.890,2.90,0,599,2,.222,2,,,0,0,0,2
2014,60,Drew MacIntyre,/players/m/macindr01.html,30,TOR,/teams/TOR/2014.html,2,1,0,1,0,4,51,47,.922,2.53,0,95,0,.000,0,,,0,0,0,0
2014,61,Jacob Markstrom,/players/m/marksja02.html,24,TOT,,16,12,2,8,3,46,361,315,.873,3.39,0,814,3,.250,4,148,-14.89,0,0,0,0
2014,62,Steve Mason,/players/m/masonst01.html,25,PHI,/teams/PHI/2014.html,61,60,33,18,7,145,1751,1606,.917,2.50,4,3486,35,.583,9,96,5.88,0,1,1,10
2014,63,Marek Mazanec,/players/m/mazanma01.html,22,NSH,/teams/NSH/2014.html,25,22,8,10,4,64,650,586,.902,2.80,2,1370,11,.500,6,114,-7.99,0,0,0,0
2014,64,Curtis McElhinney,/players/m/mcelhcu01.html,30,CBJ,/teams/CBJ/2014.html,28,21,10,11,1,64,703,639,.909,2.70,2,1423,12,.571,3,106,-3.43,0,1,1,0
2014,65,Mike McKenna,/players/m/mckenmi01.html,30,CBJ,/teams/CBJ/2014.html,4,3,1,1,1,11,114,103,.904,3.01,0,219,0,.000,0,,,0,0,0,0
2014,66,Ryan Miller,/players/m/millery01.html,33,TOT,,59,59,25,30,4,154,1885,1731,.918,2.64,1,3501,36,.610,7,95,8.42,0,2,2,0
2014,67,Al Montoya,/players/m/montoal01.html,28,WPG,/teams/WPG/2014.html,28,22,13,8,3,59,737,678,.920,2.30,2,1541,13,.591,1,93,4.50,0,0,0,2
2014,68,Petr Mrazek,/players/m/mrazepe01.html,21,DET,/teams/DET/2014.html,9,6,2,4,0,13,178,165,.927,1.74,2,449,4,.667,1,,,0,0,0,0
2014,69,Evgeni Nabokov,/players/n/nabokev01.html,38,NYI,/teams/NYI/2014.html,40,39,15,14,8,103,1085,982,.905,2.74,4,2254,16,.410,8,110,-9.51,0,1,1,4
2014,70,Michal Neuvirth,/players/n/neuvimi01.html,25,TOT,,15,13,4,8,2,41,517,476,.921,2.78,0,884,9,.692,2,92,3.55,0,1,1,0
2014,71,Antti Niemi,/players/n/niemian02.html,30,SJS,/teams/SJS/2014.html,64,64,39,17,7,149,1705,1556,.913,2.39,4,3740,30,.469,9,101,-2.09,0,2,2,0
2014,72,Anders Nilsson,/players/n/nilssan01.html,23,NYI,/teams/NYI/2014.html,19,17,8,7,2,57,548,491,.896,3.11,0,1101,6,.353,4,121,-9.78,0,0,0,2
2014,73,Cristopher Nilstorp,/players/n/nihlsch01.html,29,DAL,/teams/DAL/2014.html,1,0,,,,3,17,14,.824,4.62,0,39,0,,0,,,0,0,0,0
2014,74,Joni Ortio,/players/o/ortiojo01.html,22,CGY,/teams/CGY/2014.html,9,9,4,4,0,21,193,172,.891,2.51,0,501,3,.333,1,,,0,2,2,0
2014,75,Ondrej Pavelec,/players/p/pavelon01.html,26,WPG,/teams/WPG/2014.html,57,57,22,26,7,163,1644,1481,.901,3.01,1,3248,24,.421,12,115,-21.34,0,3,3,0
2014,76,Justin Peters,/players/p/peterju01.html,27,CAR,/teams/CAR/2014.html,21,20,7,9,4,51,626,575,.919,2.50,1,1225,11,.550,3,95,2.94,0,2,2,4
2014,77,Kevin Poulin,/players/p/poulike01.html,23,NYI,/teams/NYI/2014.html,28,26,11,16,1,89,820,731,.891,3.29,0,1625,8,.308,8,126,-18.34,0,0,0,0
2014,78,Carey Price,/players/p/priceca01.html,26,MTL,/teams/MTL/2014.html,59,59,34,20,5,134,1828,1694,.927,2.32,6,3464,38,.644,7,85,23.51,0,2,2,4
2014,79,Jonathan Quick,/players/q/quickjo01.html,28,LAK,/teams/LAK/2014.html,49,49,27,17,4,100,1183,1083,.915,2.07,6,2904,26,.531,6,98,1.93,0,2,2,2
2014,80,Antti Raanta,/players/r/raantan01.html,24,CHI,/teams/CHI/2014.html,25,22,13,5,4,63,610,547,.897,2.71,1,1397,12,.545,6,120,-10.44,0,1,1,0
2014,81,Karri Ramo,/players/r/ramoka01.html,27,CGY,/teams/CGY/2014.html,40,37,17,15,4,97,1091,994,.911,2.65,2,2194,19,.514,5,103,-2.99,0,1,1,10
