year,game_date,team,team_div,opponent,opponent_div,team_score,opponent_score,outcome
2003,2002-11-29,Michigan,I,Wisconsin,I,4,1,1.0
2003,2002-11-29,St. Thomas,III,Wisconsin-Eau Claire,III,1,1,0.5
2003,2002-11-29,Colorado College,I,Air Force,I,7,0,1.0
2003,2002-11-29,Notre Dame,I,Alaska,I,3,4,0.0
2003,2002-11-30,Stonehill,II,Brockport,III,3,4,0.0
2003,2002-11-30,Union,I,Brown,I,4,1,1.0
2003,2002-11-30,Northeastern,I,Clarkson,I,3,1,1.0
2003,2002-11-30,Northeastern,I,Clarkson,I,3,1,1.0
2003,2002-11-30,Mercyhurst,I,Colorado College,I,2,10,0.0
2003,2002-11-30,Johnson and Wales,III,Connecticut College,III,4,3,1.0
2003,2002-11-30,Boston University,I,Cornell,I,1,4,0.0
2003,2002-11-30,Colby,III,Curry,III,7,3,1.0
2003,2002-11-30,Air Force,I,Denver,I,0,7,0.0
2003,2002-11-30,Holy Cross,I,Findlay,I,1,4,0.0
2003,2002-11-30,Rensselaer,I,Harvard,I,1,3,0.0
2003,2002-11-30,Marian,III,Lake Forest,III,1,5,0.0
2003,2002-11-30,Dartmouth,I,Massachusetts,I,2,7,0.0
2003,2002-11-30,Wayne State,I,Michigan Tech,I,4,7,0.0
2003,2002-11-30,Wisconsin-Stevens Point,III,Milwaukee School of Engineering,III,8,0,1.0
2003,2002-11-30,Bethel,III,Minn.-Crookston,II,3,5,0.0
2003,2002-11-30,Alaska-Anchorage,I,Minnesota-Duluth,I,1,5,0.0
2003,2002-11-30,Merrimack,I,Nebraska-Omaha,I,3,5,0.0
2003,2002-11-30,Assumption,II,New England College,III,3,5,0.0
2003,2002-11-30,Connecticut,I,New Hampshire,I,1,3,0.0
2003,2002-11-30,Minnesota State,I,North Dakota,I,4,5,0.0
2003,2002-11-30,Potsdam,III,Norwich,III,2,5,0.0
2003,2002-11-30,Trinity,III,Oswego,III,3,8,0.0
2003,2002-11-30,Middlebury,III,Plattsburgh,III,1,6,0.0
2003,2002-11-30,So. New Hampshire,II,St. Anselm,II,1,1,0.5
2003,2002-11-30,Lawrence,III,St. John's,III,2,4,0.0
2003,2002-11-30,Providence,I,St. Lawrence,I,4,2,1.0
2003,2002-11-30,Wisconsin-Superior,III,St. Thomas,III,1,2,0.0
2003,2002-11-30,Massachusetts-Dartmouth,III,Massachusetts-Boston,III,3,1,1.0
2003,2002-11-30,Army,I,Vermont,I,4,8,0.0
2003,2002-11-30,Fitchburg State,III,Wesleyan,III,3,3,0.5
2003,2002-11-30,Lake Superior,I,Western Michigan,I,0,3,0.0
2003,2002-11-30,Michigan State,I,Wisconsin,I,2,1,1.0
2003,2002-11-30,Princeton,I,Yale,I,1,6,0.0
2003,2002-11-30,Niagara,I,Alabama-Huntsville,I,3,3,0.5
2003,2002-11-30,Notre Dame,I,Alaska,I,4,5,0.0
2003,2002-11-30,Wentworth,III,Amherst,III,10,0,1.0
2003,2002-11-30,Salve Regina,III,Babson,III,1,6,0.0
2003,2002-12-01,Wesleyan,III,Connecticut College,III,2,5,0.0
2003,2002-12-01,Boston University,I,Cornell,I,1,5,0.0
2003,2002-12-01,Johnson and Wales,III,Fitchburg State,III,2,5,0.0
2003,2002-12-01,Williams,III,Manhattanville,III,3,6,0.0
2003,2002-12-01,Princeton,I,Massachusetts,I,3,5,0.0
2003,2002-12-01,Michigan,I,Minnesota,I,3,1,1.0
2003,2002-12-01,Worcester State,III,Salem State,III,1,4,0.0
2003,2002-12-01,Stonehill,II,Salve Regina,III,3,4,0.0
2003,2002-12-01,Assumption,II,So. New Hampshire,II,1,5,0.0
2003,2002-12-01,New England College,III,St. Anselm,II,8,3,1.0
2003,2002-12-01,Lawrence,III,St. John's,III,3,8,0.0
2003,2002-12-01,Tufts,III,Massachusetts-Dartmouth,III,4,4,0.5
2003,2002-12-01,Oswego,III,Wentworth,III,5,1,1.0
2003,2002-12-01,Niagara,I,Alabama-Huntsville,I,4,7,0.0
2003,2002-12-01,Trinity,III,Amherst,III,4,4,0.5
2003,2002-12-01,Brockport,III,Babson,III,2,9,0.0
2003,2002-12-01,Curry,III,Bowdoin,III,2,10,0.0
2003,2002-12-02,Northland,III,St. Olaf,III,4,2,1.0
2003,2002-12-03,Fredonia,III,Buffalo State,III,6,0,1.0
2003,2002-12-03,Oswego,III,Cortland,III,7,0,1.0
2003,2002-12-03,Framingham State,III,Mass Coll Lib Arts,III,2,7,0.0
2003,2002-12-03,Plattsburgh,III,Potsdam,III,9,1,1.0
2003,2002-12-03,Plymouth State,III,Southern Maine,III,3,10,0.0
2003,2002-12-03,Northland,III,St. Mary's,III,1,5,0.0
2003,2002-12-03,Assumption,II,Western New England,III,1,5,0.0
2003,2002-12-03,St. Scholastica,III,Wisconsin-River Falls,III,1,8,0.0
2003,2002-12-03,Quinnipiac,I,Bentley,I,2,1,1.0
2003,2002-12-03,Colby,III,Bowdoin,III,3,5,0.0
2003,2002-12-04,Stonehill,II,Johnson and Wales,III,4,12,0.0
2003,2002-12-04,Franklin Pierce,II,Suffolk,III,4,11,0.0
2003,2002-12-04,Fitchburg State,III,Massachusetts-Dartmouth,III,2,4,0.0
2003,2002-12-05,Niagara,I,Colgate,I,1,2,0.0
2003,2002-12-05,Providence,I,Merrimack,I,1,2,0.0
2003,2002-12-05,Marian,III,Minn.-Crookston,II,4,3,1.0
2003,2002-12-05,So. New Hampshire,II,Nichols,III,3,1,1.0
2003,2002-12-06,Oswego,III,Brockport,III,6,0,1.0
2003,2002-12-06,Potsdam,III,Buffalo State,III,2,3,0.0
2003,2002-12-06,Wisconsin-Superior,III,Concordia (Minn.),III,10,3,1.0
2003,2002-12-06,Army,I,Connecticut,I,0,3,0.0
2003,2002-12-06,St. Anselm,II,Connecticut College,III,2,7,0.0
2003,2002-12-06,Colorado College,I,Denver,I,4,3,1.0
2003,2002-12-06,Iona,I,Fairfield,I,4,1,1.0
2003,2002-12-06,Michigan State,I,Ferris State,I,6,2,1.0
2003,2002-12-06,Plattsburgh,III,Fredonia,III,2,5,0.0
2003,2002-12-06,Cortland,III,Geneseo,III,1,3,0.0
2003,2002-12-06,Wisconsin-Eau Claire,III,Gustavus Adolphus,III,0,6,0.0
2003,2002-12-06,St. Michael's,II,Hamilton,III,4,6,0.0
2003,2002-12-06,Nebraska-Omaha,I,Lake Superior,I,4,1,1.0
2003,2002-12-06,Hobart,III,Manhattanville,III,3,6,0.0
2003,2002-12-06,Boston University,I,Massachusetts,I,4,5,0.0
2003,2002-12-06,Colby,III,Mass Coll Lib Arts,III,4,1,1.0
2003,2002-12-06,Augsburg,III,Milwaukee School of Engineering,III,4,1,1.0
2003,2002-12-06,Marian,III,Minn.-Crookston,II,2,2,0.5
2003,2002-12-06,Bemidji State,I,Minnesota-Duluth,I,3,2,1.0
2003,2002-12-06,Alaska-Anchorage,I,Minnesota State,I,1,5,0.0
2003,2002-12-06,RIT,III,Neumann,III,13,2,1.0
2003,2002-12-06,Clarkson,I,New Hampshire,I,2,5,0.0
2003,2002-12-06,Clarkson,I,New Hampshire,I,2,5,0.0
2003,2002-12-06,St. Cloud State,I,North Dakota,I,3,4,0.0
2003,2002-12-06,Michigan,I,Northern Michigan,I,2,5,0.0
2003,2002-12-06,Finlandia,III,Northland,III,6,3,1.0
2003,2002-12-06,Miami,I,Ohio State,I,0,4,0.0
2003,2002-12-06,Harvard,I,Princeton,I,6,3,1.0
2003,2002-12-06,Alabama-Huntsville,I,Sacred Heart,I,3,3,0.5
2003,2002-12-06,Williams,III,Salem State,III,6,4,1.0
2003,2002-12-06,Bowdoin,III,Skidmore,III,4,1,1.0
2003,2002-12-06,Middlebury,III,Southern Maine,III,7,0,1.0
2003,2002-12-06,St. Scholastica,III,St. John's,III,3,4,0.0
2003,2002-12-06,Wisconsin-Stevens Point,III,St. Olaf,III,2,3,0.0
2003,2002-12-06,Wisconsin-River Falls,III,St. Thomas,III,2,5,0.0
2003,2002-12-06,New England College,III,Tufts,III,7,4,1.0
2003,2002-12-06,Trinity,III,Massachusetts-Boston,III,10,0,1.0
2003,2002-12-06,St. Lawrence,I,Massachusetts-Lowell,I,2,3,0.0
2003,2002-12-06,Cornell,I,Western Michigan,I,6,1,1.0
2003,2002-12-06,Minnesota,I,Wisconsin,I,3,0,1.0
2003,2002-12-06,Brown,I,Yale,I,3,4,0.0
2003,2002-12-06,Wisconsin-Stout,III,Air Force,I,2,6,0.0
2003,2002-12-06,Wisconsin-Stout,III,Air Force,I,2,6,0.0
2003,2002-12-06,Wayne State,I,Alaska,I,2,6,0.0
2003,2002-12-06,Norwich,III,Amherst,III,7,4,1.0
2003,2002-12-06,Wesleyan,III,Babson,III,0,5,0.0
2003,2002-12-06,Findlay,I,Bentley,I,7,2,1.0
2003,2002-12-06,St. Norbert,III,Bethel,III,11,2,1.0
2003,2002-12-06,Maine,I,Boston College,I,4,3,1.0
2003,2002-12-07,Cortland,III,Brockport,III,2,2,0.5
2003,2002-12-07,Plattsburgh,III,Buffalo State,III,4,3,1.0
2003,2002-12-07,Mercyhurst,I,Canisius,I,2,4,0.0
2003,2002-12-07,Holy Cross,I,Colgate,I,2,5,0.0
2003,2002-12-07,Denver,I,Colorado College,I,2,6,0.0
2003,2002-12-07,St. Scholastica,III,Concordia (Minn.),III,3,4,0.0
2003,2002-12-07,American International,I,Connecticut,I,6,5,1.0
2003,2002-12-07,New England College,III,Connecticut College,III,3,1,1.0
2003,2002-12-07,Army,I,Fairfield,I,3,1,1.0
2003,2002-12-07,Framingham State,III,Fitchburg State,III,2,9,0.0
2003,2002-12-07,Potsdam,III,Fredonia,III,1,2,0.0
2003,2002-12-07,Oswego,III,Geneseo,III,5,6,0.0
2003,2002-12-07,Wisconsin-Stevens Point,III,Gustavus Adolphus,III,2,6,0.0
2003,2002-12-07,Norwich,III,Hamilton,III,2,1,1.0
2003,2002-12-07,St. Norbert,III,Hamline,III,4,1,1.0
2003,2002-12-07,Nebraska-Omaha,I,Lake Superior,I,3,0,1.0
2003,2002-12-07,Hobart,III,Lebanon Valley,III,6,5,1.0
2003,2002-12-07,RIT,III,Manhattanville,III,2,7,0.0
2003,2002-12-07,Bowdoin,III,Mass Coll Lib Arts,III,5,1,1.0
2003,2002-12-07,Ferris State,I,Michigan State,I,5,3,1.0
2003,2002-12-07,Alaska-Anchorage,I,Minnesota State,I,3,3,0.5
2003,2002-12-07,St. Lawrence,I,New Hampshire,I,4,2,1.0
2003,2002-12-07,St. Cloud State,I,North Dakota,I,4,5,0.0
2003,2002-12-07,Merrimack,I,Northeastern,I,1,0,1.0
2003,2002-12-07,Michigan,I,Northern Michigan,I,1,4,0.0
2003,2002-12-07,Finlandia,III,Northland,III,6,6,0.5
2003,2002-12-07,Bowling Green,I,Notre Dame,I,3,6,0.0
2003,2002-12-07,Miami,I,Ohio State,I,3,5,0.0
2003,2002-12-07,Brown,I,Princeton,I,5,2,1.0
2003,2002-12-07,Union,I,Rensselaer,I,2,4,0.0
2003,2002-12-07,Alabama-Huntsville,I,Sacred Heart,I,6,2,1.0
2003,2002-12-07,Middlebury,III,Salem State,III,4,5,0.0
2003,2002-12-07,Franklin Pierce,II,Salve Regina,III,1,8,0.0
2003,2002-12-07,Colby,III,Skidmore,III,3,1,1.0
2003,2002-12-07,Johnson and Wales,III,So. New Hampshire,II,6,3,1.0
2003,2002-12-07,Williams,III,Southern Maine,III,6,0,1.0
2003,2002-12-07,Wisconsin-Superior,III,St. John's,III,4,2,1.0
2003,2002-12-07,Wisconsin-River Falls,III,St. Mary's,III,5,4,1.0
2003,2002-12-07,Wisconsin-Eau Claire,III,St. Olaf,III,3,5,0.0
2003,2002-12-07,Western New England,III,Stonehill,II,2,5,0.0
2003,2002-12-07,Worcester State,III,Suffolk,III,7,5,1.0
2003,2002-12-07,St. Anselm,II,Tufts,III,3,3,0.5
2003,2002-12-07,Wesleyan,III,Massachusetts-Boston,III,4,2,1.0
2003,2002-12-07,Curry,III,Massachusetts-Dartmouth,III,5,6,0.0
2003,2002-12-07,Clarkson,I,Massachusetts-Lowell,I,0,3,0.0
2003,2002-12-07,Clarkson,I,Massachusetts-Lowell,I,0,3,0.0
2003,2002-12-07,Elmira,III,Utica,III,8,4,1.0
2003,2002-12-07,Cornell,I,Western Michigan,I,3,2,1.0
2003,2002-12-07,Minnesota,I,Wisconsin,I,3,2,1.0
2003,2002-12-07,Milwaukee School of Engineering,III,Wisconsin-Stout,III,1,3,0.0
2003,2002-12-07,Harvard,I,Yale,I,6,3,1.0
2003,2002-12-07,Augsburg,III,Air Force,I,2,4,0.0
2003,2002-12-07,Augsburg,III,Air Force,I,2,4,0.0
2003,2002-12-07,Wayne State,I,Alaska,I,2,8,0.0
2003,2002-12-07,St. Michael's,II,Amherst,III,0,8,0.0
2003,2002-12-07,Wentworth,III,Assumption,II,4,3,1.0
2003,2002-12-07,Trinity,III,Babson,III,6,5,1.0
2003,2002-12-07,Minnesota-Duluth,I,Bemidji State,I,12,0,1.0
2003,2002-12-07,Findlay,I,Bentley,I,7,0,1.0
2003,2002-12-07,Lake Forest,III,Bethel,III,8,1,1.0
2003,2002-12-07,Maine,I,Boston College,I,2,2,0.5
2003,2002-12-07,Massachusetts,I,Boston University,I,1,3,0.0
2003,2002-12-08,Lake Forest,III,Hamline,III,2,2,0.5
2003,2002-12-08,Plymouth State,III,Lebanon Valley,III,2,8,0.0
2003,2002-12-08,Bowling Green,I,Notre Dame,I,2,5,0.0
2003,2002-12-08,Iona,I,Union,I,1,4,0.0
2003,2002-12-09,Fitchburg State,III,Worcester State,III,1,3,0.0
2003,2002-12-10,Massachusetts-Dartmouth,III,Connecticut College,III,4,3,1.0
2003,2002-12-10,Framingham State,III,Curry,III,1,11,0.0
2003,2002-12-10,Utica,III,Hamilton,III,0,1,0.0
2003,2002-12-10,Wisconsin-Stevens Point,III,Lake Forest,III,1,3,0.0
2003,2002-12-10,Boston University,I,Rensselaer,I,4,1,1.0
2003,2002-12-10,Norwich,III,St. Michael's,II,14,2,1.0
2003,2002-12-11,Plymouth State,III,Franklin Pierce,II,4,4,0.5
2003,2002-12-11,Boston College,I,Harvard,I,2,2,0.5
2003,2002-12-11,Bentley,I,Holy Cross,I,2,0,1.0
2003,2002-12-11,Nichols,III,Johnson and Wales,III,2,5,0.0
2003,2002-12-11,Skidmore,III,Mass Coll Lib Arts,III,3,3,0.5
2003,2002-12-11,Stonehill,II,So. New Hampshire,II,6,3,1.0
2003,2002-12-11,Massachusetts-Boston,III,Babson,III,6,10,0.0
2003,2002-12-12,Gustavus Adolphus,III,Hamline,III,6,4,1.0
2003,2002-12-12,Massachusetts,I,Princeton,I,4,3,1.0
2003,2002-12-12,Framingham State,III,Southern Maine,III,4,13,0.0
2003,2002-12-12,Wisconsin-Stout,III,St. Thomas,III,0,7,0.0
2003,2002-12-13,Minn.-Crookston,II,Finlandia,III,6,4,1.0
2003,2002-12-13,Neumann,III,Fredonia,III,1,5,0.0
2003,2002-12-13,Iona,I,Maine,I,1,4,0.0
2003,2002-12-13,Colorado College,I,Minnesota State,I,6,3,1.0
2003,2002-12-13,Bemidji State,I,Niagara,I,2,3,0.0
2003,2002-12-13,Canisius,I,North Dakota,I,0,6,0.0
2003,2002-12-13,Michigan Tech,I,Northern Michigan,I,3,2,1.0
2003,2002-12-13,Nebraska-Omaha,I,Ohio State,I,1,4,0.0
2003,2002-12-13,New England College,III,St. Anselm,II,4,1,1.0
2003,2002-12-13,Denver,I,St. Cloud State,I,1,1,0.5
2003,2002-12-13,Lake Superior,I,St. Lawrence,I,1,6,0.0
2003,2002-12-13,Augsburg,III,Wisconsin-River Falls,III,1,8,0.0
2003,2002-12-13,Wisconsin-Eau Claire,III,Wisconsin-Stevens Point,III,4,5,0.0
2003,2002-12-14,Clarkson,I,Colgate,I,2,1,1.0
2003,2002-12-14,Clarkson,I,Colgate,I,2,1,1.0
2003,2002-12-14,Minn.-Crookston,II,Finlandia,III,2,1,1.0
2003,2002-12-14,Neumann,III,Fredonia,III,0,10,0.0
2003,2002-12-14,Northland,III,Marian,III,0,4,0.0
2003,2002-12-14,Lawrence,III,Milwaukee School of Engineering,III,7,4,1.0
2003,2002-12-14,Colorado College,I,Minnesota State,I,2,4,0.0
2003,2002-12-14,Bemidji State,I,Niagara,I,3,3,0.5
2003,2002-12-14,Canisius,I,North Dakota,I,2,8,0.0
2003,2002-12-14,Union,I,Northeastern,I,2,4,0.0
2003,2002-12-14,Nebraska-Omaha,I,Ohio State,I,1,3,0.0
2003,2002-12-14,Elmira,III,Oswego,III,3,5,0.0
2003,2002-12-14,Nichols,III,Plymouth State,III,4,6,0.0
2003,2002-12-14,Massachusetts-Dartmouth,III,Southern Maine,III,5,4,1.0
2003,2002-12-14,Denver,I,St. Cloud State,I,4,6,0.0
2003,2002-12-14,Lake Superior,I,St. Lawrence,I,2,2,0.5
2003,2002-12-14,Notre Dame,I,Wayne State,I,3,2,1.0
2003,2002-12-14,St. John's,III,Wisconsin-River Falls,III,2,1,1.0
2003,2002-12-14,St. Thomas,III,Wisconsin-Stevens Point,III,4,1,1.0
2003,2002-12-14,Wisconsin-Stout,III,Augsburg,III,3,7,0.0
2003,2002-12-15,Johnson and Wales,III,Elmira,III,3,11,0.0
2003,2002-12-15,Harvard,I,Maine,I,2,4,0.0
2003,2002-12-15,Northland,III,Marian,III,1,4,0.0
2003,2002-12-20,Western Michigan,I,Colorado College,I,4,8,0.0
2003,2002-12-21,Western Michigan,I,Colorado College,I,1,3,0.0
2003,2002-12-27,Worcester State,III,Bowdoin,III,2,14,0.0
2003,2002-12-27,New Hampshire,I,Clarkson,I,4,2,1.0
2003,2002-12-27,New Hampshire,I,Clarkson,I,4,2,1.0
2003,2002-12-27,Miami,I,Denver,I,0,6,0.0
2003,2002-12-27,Yale,I,Minnesota,I,3,7,0.0
2003,2002-12-27,American International,I,Minnesota State,I,3,7,0.0
2003,2002-12-27,Brown,I,North Dakota,I,2,5,0.0
2003,2002-12-27,Curry,III,Salem State,III,5,8,0.0
2003,2002-12-27,Babson,III,St. Michael's,II,6,3,1.0
2003,2002-12-27,So. New Hampshire,II,Massachusetts-Boston,III,4,2,1.0
2003,2002-12-27,Bowling Green,I,Boston College,I,5,6,0.0
2003,2002-12-28,Miami,I,Clarkson,I,4,2,1.0
2003,2002-12-28,Miami,I,Clarkson,I,4,2,1.0
2003,2002-12-28,Worcester State,III,Curry,III,6,8,0.0
2003,2002-12-28,Notre Dame,I,Dartmouth,I,4,6,0.0
2003,2002-12-28,New Hampshire,I,Denver,I,0,4,0.0
2003,2002-12-28,Air Force,I,Fairfield,I,5,4,1.0
2003,2002-12-28,Cornell,I,Maine,I,2,3,0.0
2003,2002-12-28,Ohio State,I,Massachusetts,I,2,2,0.5
2003,2002-12-28,Michigan Tech,I,Michigan,I,3,5,0.0
2003,2002-12-28,Boston University,I,Michigan State,I,6,1,1.0
2003,2002-12-28,Boston College,I,Minnesota,I,1,2,0.0
2003,2002-12-28,Union,I,Minnesota-Duluth,I,2,5,0.0
2003,2002-12-28,American International,I,Minnesota State,I,3,3,0.5
2003,2002-12-28,Bemidji State,I,North Dakota,I,3,4,0.0
2003,2002-12-28,Wayne State,I,Princeton,I,7,0,1.0
2003,2002-12-28,Merrimack,I,Rensselaer,I,2,1,1.0
2003,2002-12-28,Bowdoin,III,Salem State,III,2,5,0.0
2003,2002-12-28,St. Michael's,II,Massachusetts-Boston,III,8,4,1.0
2003,2002-12-28,Massachusetts-Lowell,I,Vermont,I,5,0,1.0
2003,2002-12-28,Bowling Green,I,Yale,I,1,5,0.0
2003,2002-12-28,So. New Hampshire,II,Babson,III,2,11,0.0
2003,2002-12-29,Findlay,I,Connecticut,I,4,1,1.0
2003,2002-12-29,Ohio State,I,Cornell,I,1,0,1.0
2003,2002-12-29,Massachusetts-Lowell,I,Dartmouth,I,2,10,0.0
2003,2002-12-29,Air Force,I,Fairfield,I,0,3,0.0
2003,2002-12-29,Alabama-Huntsville,I,Ferris State,I,5,4,1.0
2003,2002-12-29,Northern Michigan,I,Harvard,I,3,2,1.0
2003,2002-12-29,Massachusetts,I,Maine,I,3,8,0.0
2003,2002-12-29,Wayne State,I,Merrimack,I,1,4,0.0
2003,2002-12-29,Boston University,I,Michigan,I,5,4,1.0
2003,2002-12-29,Michigan State,I,Michigan Tech,I,6,2,1.0
2003,2002-12-29,Union,I,Minnesota-Duluth,I,1,4,0.0
2003,2002-12-29,Princeton,I,Rensselaer,I,4,3,1.0
2003,2002-12-29,Notre Dame,I,Vermont,I,3,3,0.5
2003,2002-12-29,Colgate,I,Wisconsin,I,1,2,0.0
2003,2002-12-30,Ferris State,I,Connecticut,I,5,0,1.0
2003,2002-12-30,Alabama-Huntsville,I,Findlay,I,4,2,1.0
2003,2002-12-30,Colgate,I,Harvard,I,1,8,0.0
2003,2002-12-30,Northern Michigan,I,Wisconsin,I,1,3,0.0
2003,2002-12-31,Amherst,III,Plattsburgh,III,0,5,0.0
2003,2003-01-02,New Hampshire,I,Yale,I,5,0,1.0
2003,2003-01-03,Alaska,I,Bowling Green,I,3,3,0.5
2003,2003-01-03,Massachusetts-Lowell,I,Brown,I,3,3,0.5
2003,2003-01-03,Williams,III,Elmira,III,3,7,0.0
2003,2003-01-03,St. Scholastica,III,Hamline,III,5,3,1.0
2003,2003-01-03,Iona,I,Holy Cross,I,6,3,1.0
2003,2003-01-03,Concordia (Minn.),III,Lake Forest,III,3,7,0.0
2003,2003-01-03,Michigan State,I,Lake Superior,I,1,7,0.0
2003,2003-01-03,Connecticut,I,Mercyhurst,I,4,4,0.5
2003,2003-01-03,St. Cloud State,I,Minnesota,I,4,3,1.0
2003,2003-01-03,Notre Dame,I,Nebraska-Omaha,I,5,3,1.0
2003,2003-01-03,Manhattanville,III,New England College,III,3,1,1.0
2003,2003-01-03,Ferris State,I,Niagara,I,7,1,1.0
2003,2003-01-03,Colorado College,I,North Dakota,I,4,4,0.5
2003,2003-01-03,Utica,III,Norwich,III,2,7,0.0
2003,2003-01-03,Skidmore,III,Plattsburgh,III,2,6,0.0
2003,2003-01-03,Ohio State,I,Princeton,I,4,1,1.0
2003,2003-01-03,Maine,I,Providence,I,2,4,0.0
2003,2003-01-03,Canisius,I,Quinnipiac,I,0,2,0.0
2003,2003-01-03,Minnesota-Duluth,I,Rensselaer,I,2,5,0.0
2003,2003-01-03,Amherst,III,RIT,III,1,5,0.0
2003,2003-01-03,Bentley,I,Sacred Heart,I,2,1,1.0
2003,2003-01-03,St. John's,III,St. Norbert,III,2,11,0.0
2003,2003-01-03,Wisconsin-Stout,III,St. Olaf,III,3,9,0.0
2003,2003-01-03,St. Thomas,III,Trinity,III,3,4,0.0
2003,2003-01-03,Minnesota State,I,Wisconsin,I,3,2,1.0
2003,2003-01-03,Fairfield,I,Alabama-Huntsville,I,1,8,0.0
2003,2003-01-03,Michigan Tech,I,Alaska-Anchorage,I,4,0,1.0
2003,2003-01-03,Army,I,American International,I,4,2,1.0
2003,2003-01-03,Wisconsin-Superior,III,Bethel,III,7,3,1.0
2003,2003-01-03,Massachusetts,I,Boston College,I,3,2,1.0
2003,2003-01-04,Alaska,I,Bowling Green,I,6,3,1.0
2003,2003-01-04,Colgate,I,Clarkson,I,0,6,0.0
2003,2003-01-04,Colgate,I,Clarkson,I,0,6,0.0
2003,2003-01-04,Amherst,III,Elmira,III,3,5,0.0
2003,2003-01-04,Wisconsin-Superior,III,Hamline,III,6,0,1.0
2003,2003-01-04,Iona,I,Holy Cross,I,3,4,0.0
2003,2003-01-04,St. John's,III,Lake Forest,III,1,6,0.0
2003,2003-01-04,Michigan State,I,Lake Superior,I,6,0,1.0
2003,2003-01-04,Connecticut,I,Mercyhurst,I,1,3,0.0
2003,2003-01-04,Miami,I,Michigan,I,2,3,0.0
2003,2003-01-04,Hobart,III,Middlebury,III,2,3,0.0
2003,2003-01-04,Notre Dame,I,Nebraska-Omaha,I,3,5,0.0
2003,2003-01-04,Geneseo,III,Neumann,III,6,2,1.0
2003,2003-01-04,Skidmore,III,New England College,III,4,5,0.0
2003,2003-01-04,Merrimack,I,New Hampshire,I,3,8,0.0
2003,2003-01-04,Ferris State,I,Niagara,I,8,1,1.0
2003,2003-01-04,Colorado College,I,North Dakota,I,4,4,0.5
2003,2003-01-04,Boston University,I,Northeastern,I,4,0,1.0
2003,2003-01-04,Trinity,III,Norwich,III,1,4,0.0
2003,2003-01-04,Manhattanville,III,Plattsburgh,III,3,4,0.0
2003,2003-01-04,Canisius,I,Quinnipiac,I,3,4,0.0
2003,2003-01-04,Minnesota-Duluth,I,Rensselaer,I,3,2,1.0
2003,2003-01-04,Williams,III,RIT,III,2,6,0.0
2003,2003-01-04,Colby,III,Southern Maine,III,10,0,1.0
2003,2003-01-04,Minnesota,I,St. Cloud State,I,3,3,0.5
2003,2003-01-04,Cornell,I,St. Lawrence,I,3,2,1.0
2003,2003-01-04,Franklin Pierce,II,St. Michael's,II,0,10,0.0
2003,2003-01-04,Concordia (Minn.),III,St. Norbert,III,2,5,0.0
2003,2003-01-04,Maine,I,Massachusetts-Lowell,I,5,2,1.0
2003,2003-01-04,Harvard,I,Union,I,3,1,1.0
2003,2003-01-04,St. Thomas,III,Utica,III,2,4,0.0
2003,2003-01-04,Dartmouth,I,Vermont,I,3,2,1.0
2003,2003-01-04,Salem State,III,Wentworth,III,2,5,0.0
2003,2003-01-04,Findlay,I,Western Michigan,I,1,4,0.0
2003,2003-01-04,Minnesota State,I,Wisconsin,I,4,4,0.5
2003,2003-01-04,St. Mary's,III,Wisconsin-Eau Claire,III,6,2,1.0
2003,2003-01-04,St. Olaf,III,Wisconsin-River Falls,III,1,3,0.0
2003,2003-01-04,Wayne State,I,Air Force,I,2,2,0.5
2003,2003-01-04,Fairfield,I,Alabama-Huntsville,I,2,8,0.0
2003,2003-01-04,Michigan Tech,I,Alaska-Anchorage,I,4,3,1.0
2003,2003-01-04,American International,I,Army,I,2,4,0.0
2003,2003-01-04,Sacred Heart,I,Bentley,I,3,4,0.0
2003,2003-01-04,St. Scholastica,III,Bethel,III,5,1,1.0
2003,2003-01-05,Cornell,I,Clarkson,I,3,2,1.0
2003,2003-01-05,Cornell,I,Clarkson,I,3,2,1.0
2003,2003-01-05,Geneseo,III,Lebanon Valley,III,4,5,0.0
2003,2003-01-05,Providence,I,Massachusetts,I,4,5,0.0
2003,2003-01-05,Miami,I,Michigan,I,2,5,0.0
2003,2003-01-05,Colgate,I,St. Lawrence,I,3,3,0.5
2003,2003-01-05,St. Mary's,III,Wisconsin-Stevens Point,III,2,2,0.5
2003,2003-01-05,Wayne State,I,Air Force,I,5,3,1.0
2003,2003-01-05,Northeastern,I,Boston University,I,2,7,0.0
2003,2003-01-06,Franklin Pierce,II,St. Anselm,II,2,8,0.0
2003,2003-01-07,Lebanon Valley,III,Cortland,III,3,3,0.5
2003,2003-01-07,Bentley,I,Fairfield,I,2,7,0.0
2003,2003-01-07,Sacred Heart,I,Holy Cross,I,1,7,0.0
2003,2003-01-07,Milwaukee School of Engineering,III,Lawrence,III,4,5,0.0
2003,2003-01-07,Findlay,I,Ohio State,I,0,4,0.0
2003,2003-01-07,Norwich,III,Plattsburgh,III,5,3,1.0
2003,2003-01-07,Middlebury,III,Potsdam,III,3,1,1.0
2003,2003-01-07,Connecticut College,III,Salve Regina,III,3,1,1.0
2003,2003-01-07,Stonehill,II,Southern Maine,III,4,8,0.0
2003,2003-01-07,Framingham State,III,Massachusetts-Boston,III,3,3,0.5
2003,2003-01-07,Plymouth State,III,Massachusetts-Dartmouth,III,3,3,0.5
2003,2003-01-07,Merrimack,I,Massachusetts-Lowell,I,5,6,0.0
2003,2003-01-07,Hamilton,III,Utica,III,6,1,1.0
